COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Kazakhstan,KAZ,EURO,REPORTING,11/09/2022,28534676,10962519,152,58.384,11555786,61.543,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",07/04/2021,5,5210239,27.748
Kenya,KEN,AFRO,REPORTING,18/09/2022,21281086,13460152,39.577,25.032,9985687,18.571,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",05/03/2021,5,,
Kiribati,KIR,WPRO,REPORTING,19/08/2022,159883,82774,133.85,69.297,62876,52.638,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",26/05/2021,2,14233,11.916
Kosovo,XKX,EURO,REPORTING,04/09/2022,1835336,904135,102.2,50.351,824296,45.905,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",31/03/2021,2,105178,5.857
Kuwait,KWT,EMRO,REPORTING,28/09/2022,8214656,3445141,192.355,80.672,3337299,78.146,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",28/12/2020,10,1432216,33.537
Kyrgyzstan,KGZ,EURO,REPORTING,18/09/2022,2970097,1465468,45.5,22.462,1296339,19.87,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",31/03/2021,6,208290,3.193
Lao People's Democratic Republic,LAO,WPRO,REPORTING,18/08/2022,12121844,5901442,166.61,81.113,5238376,72,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",25/11/2020,8,1795114,24.673
Latvia,LVA,EURO,REPORTING,18/09/2022,2847648,1303023,149.3,68.304,1271589,66.656,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/12/2020,5,541299,28.375
Lebanon,LBN,EMRO,REPORTING,26/09/2022,5778363,2727295,84.659,39.958,2402926,35.205,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",14/02/2021,10,648142,9.496
Lesotho,LSO,AFRO,REPORTING,14/08/2022,1102069,1631364,51.444,76.152,872661,40.736,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10/03/2021,3,,
Liberia,LBR,AFRO,REPORTING,18/09/2022,3657724,3634393,72.32,71.859,3062225,60.546,SII - Covishield,01/04/2021,1,,
Libya,LBY,EMRO,REPORTING,21/09/2022,3710544,2304757,54.001,33.542,1229045,17.887,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11/04/2021,10,176742,2.572
Liechtenstein,LIE,OTHER,REPORTING,10/04/2022,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",06/01/2021,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,18/09/2022,4487030,1954306,160.6,70.098,1904554,68.164,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,896546,32.087
Luxembourg,LUX,EURO,REPORTING,18/09/2022,1310850,469350,209.4,74.963,462686,73.899,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/12/2020,5,366860,58.594
Madagascar,MDG,AFRO,REPORTING,18/09/2022,1871165,1579817,6.757,5.705,1515383,5.472,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10/05/2021,3,,
Malawi,MWI,AFRO,REPORTING,18/09/2022,4575245,3162840,23.917,16.533,2378583,12.434,"Janssen - Ad26.COV 2-S,SII - Covishield",11/03/2021,2,,
Malaysia,MYS,WPRO,REPORTING,18/09/2022,72105683,28098910,222.782,86.816,27503689,84.977,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/02/2021,8,16229273,50.143
Maldives,MDV,SEARO,REPORTING,26/09/2022,950888,399102,175.913,73.833,384963,71.218,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",01/02/2021,8,166823,30.862
Mali,MLI,AFRO,REPORTING,18/09/2022,3126178,2283516,15.437,11.276,1743277,8.608,SII - Covishield,31/03/2021,1,,
Malta,MLT,EURO,REPORTING,18/09/2022,1273308,450407,247.5,87.532,444782,86.439,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,4,351882,68.384
Marshall Islands,MHL,WPRO,REPORTING,26/08/2022,101728,43299,171.855,73.148,35343,59.707,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",29/12/2020,3,18053,30.498
Martinique,MTQ,AMRO,REPORTING,16/09/2022,391311,149803,104.276,39.919,144597,38.532,Pfizer BioNTech - Comirnaty,,1,91508,24.385
Mauritania,MRT,AFRO,REPORTING,04/09/2022,3251620,2005049,69.932,43.123,1423899,30.624,"Beijing CNBG - BBIBP-CorV,SII - Covishield",26/03/2021,2,,
Mauritius,MUS,AFRO,REPORTING,18/09/2022,2583907,1021934,203.174,80.355,977728,76.879,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",26/01/2021,3,,
